test,train,,
0.518928901,0.612951633,,
0.531394275,0.602331756,,max train set
0.547553093,0.623686944,,0.630266651
0.569252078,0.630266651,,0.630266651
0.563711911,0.619415907,,
0.574792244,0.629920351,,
0.570637119,0.627380815,,
0.568328717,0.625995614,,
0.561865189,0.619877641,,
0.564635272,0.623917811,,
0.566020314,0.618492439,,
0.570637119,0.617222671,,
0.572945522,0.614452268,,
0.564173592,0.611681865,,
0.563711911,0.612143599,,
0.555863343,0.610412097,,
0.554939982,0.607987995,,
0.557710065,0.608565162,,
0.546168052,0.605679326,,
0.558171745,0.607295394,,
0.554478301,0.605563892,,
0.561865189,0.605333026,,
0.565096953,0.604409558,,
0.560480148,0.600369387,,
0.560018467,0.598176151,,
0.560941828,0.598753319,,
0.565558633,0.596675517,,
0.560480148,0.593905114,,
0.561865189,0.594020547,,
0.56232687,0.593674247,,
0.565558633,0.592058178,,
0.564173592,0.59378968,,
0.555401662,0.587209973,,
0.560018467,0.58674824,,
0.559095106,0.586979107,,
0.555863343,0.585593905,,
0.557248384,0.583516103,,
0.551246537,0.58374697,,
0.555863343,0.582938936,,
0.550323176,0.581322867,,
0.55401662,0.578667898,,
0.548938135,0.574627727,,
0.565558633,0.574281427,,
0.561865189,0.571741891,,
0.560018467,0.570356689,,
0.557248384,0.568971488,,
0.561865189,0.569664089,,
0.557248384,0.569779522,,
0.550784857,0.569202355,,
0,0,,
