Category,Rating,Installs,Type,Content Rating,Android Ver,Popularity
0,4.1,10000,0,0,0,0.0
0,3.9,500000,0,0,0,1.0
0,4.7,5000000,0,0,0,1.0
0,4.5,50000000,0,1,1,2.0
0,4.3,100000,0,0,2,1.0
0,4.4,50000,0,0,3,0.0
0,3.8,50000,0,0,0,0.0
0,4.1,1000000,0,0,1,1.0
0,4.4,1000000,0,0,4,1.0
0,4.7,10000,0,0,0,0.0
0,4.4,1000000,0,0,5,1.0
0,4.4,1000000,0,0,6,1.0
0,4.2,10000000,0,1,5,2.0
0,4.6,100000,0,0,2,1.0
0,4.4,100000,0,0,3,1.0
0,4.7,500000,0,0,5,1.0
0,4.5,10000,0,0,3,0.0
0,4.3,5000000,0,0,0,1.0
0,4.6,10000000,0,0,5,2.0
0,4.0,100000,0,0,5,1.0
0,4.1,100000,0,0,0,1.0
0,4.7,500000,0,2,0,1.0
0,4.191837606837606,100000,0,0,5,1.0
0,4.7,50000,0,0,5,0.0
0,4.8,10000,0,0,4,0.0
0,4.7,500000,0,0,0,1.0
0,4.1,100000,0,0,0,1.0
0,3.9,10000,0,0,3,0.0
0,4.1,100000,0,0,3,1.0
0,4.2,100000,0,0,0,1.0
0,4.1,50000,0,0,3,0.0
0,4.5,100000,0,0,6,1.0
0,4.2,100000,0,0,5,1.0
0,4.7,10000,0,1,5,0.0
0,3.8,100000,0,0,5,1.0
0,4.7,500000,0,0,2,1.0
0,4.1,5000000,0,0,7,1.0
0,4.7,10000,0,0,0,0.0
0,4.0,500000,0,0,6,1.0
0,4.2,10000,0,0,0,0.0
0,4.5,100000,0,0,0,1.0
0,4.4,10000000,0,0,8,2.0
0,3.8,100000,0,0,5,1.0
0,4.2,10000,0,0,5,0.0
0,4.7,10000000,0,0,5,2.0
0,4.6,100000,0,0,5,1.0
0,4.2,100000,0,0,5,1.0
0,4.3,100000,0,0,3,1.0
1,4.2,100000,0,0,0,1.0
1,4.0,1000000,0,0,5,1.0
1,3.8,100000,0,0,5,1.0
1,4.6,1000000,0,0,8,1.0
1,3.9,100000,0,0,5,1.0
1,4.3,100000,0,0,5,1.0
1,4.9,100000,0,0,6,1.0
1,4.4,50000,0,0,2,0.0
1,4.2,100000,0,0,5,1.0
1,4.0,100000,0,0,9,1.0
1,3.9,100000,0,0,2,1.0
1,4.6,10000,0,0,0,0.0
1,4.9,100000,0,0,1,1.0
1,4.3,1000000,0,0,5,1.0
1,4.6,100000,0,0,6,1.0
1,4.9,100000,0,0,1,1.0
1,3.9,10000,0,0,2,0.0
1,4.0,50000,0,0,3,0.0
1,4.3,5000000,0,0,8,1.0
1,3.9,100000,0,0,8,1.0
1,4.2,5000000,0,0,0,1.0
1,4.8,5000000,0,0,0,1.0
1,3.6,500000,0,0,1,1.0
1,4.2,10000000,0,1,10,2.0
1,4.8,100000,0,0,7,1.0
1,4.8,500000,0,0,6,1.0
1,4.6,50000,0,0,6,0.0
1,4.5,100000,0,0,5,1.0
1,4.3,1000000,0,2,6,1.0
1,4.5,100000,0,0,5,1.0
1,4.9,1000000,0,0,5,1.0
1,3.9,50000,0,0,11,0.0
1,4.4,1000000,0,0,1,1.0
1,4.0,500000,0,0,10,1.0
1,4.3,100000,0,0,0,1.0
1,3.7,1000000,0,0,2,1.0
1,4.4,1000000,0,0,8,1.0
1,4.3,100000,0,0,3,1.0
1,3.2,100000,0,0,0,1.0
1,4.6,1000000,0,0,8,1.0
1,4.6,100000,0,0,8,1.0
1,4.5,100000,0,0,5,1.0
1,3.7,1000000,0,0,0,1.0
1,4.6,1000000,0,0,0,1.0
1,4.6,1000000,0,0,0,1.0
1,4.6,1000000,0,0,0,1.0
1,4.0,500000,0,0,6,1.0
1,4.4,500000,0,0,0,1.0
1,4.0,100000,0,0,6,1.0
2,4.7,500000,0,0,10,1.0
2,4.9,1000000,0,0,5,1.0
2,4.7,100000,0,0,5,1.0
2,3.9,500000,0,0,0,1.0
2,3.9,1000000,0,0,8,1.0
2,4.2,500000,0,0,5,1.0
2,4.6,100000,0,0,0,1.0
2,4.3,1000000,0,0,6,1.0
2,4.7,50000,0,0,1,0.0
2,4.7,1000000,0,0,10,1.0
2,4.8,10000,0,0,0,0.0
2,4.2,1000000,0,0,8,1.0
2,4.3,100000,0,0,6,1.0
2,4.5,10000,0,0,6,0.0
2,4.1,50000,0,1,0,0.0
2,4.191837606837606,100000,0,2,4,1.0
2,4.2,10000,0,0,0,0.0
2,4.5,10000,0,0,0,0.0
2,4.4,10000,0,0,0,0.0
2,4.0,10000000,0,0,8,2.0
2,4.1,500000,0,0,6,1.0
2,4.1,1000000,0,0,6,1.0
2,4.4,50000,0,0,0,0.0
2,4.6,10000,0,0,6,0.0
2,4.5,1000000,0,0,10,1.0
2,4.191837606837606,50000,0,0,5,0.0
2,3.9,500000,0,0,0,1.0
2,4.4,500000,0,0,6,1.0
2,4.191837606837606,100000,0,1,5,1.0
2,4.6,10000,0,0,5,0.0
2,3.8,5000,0,0,6,0.0
2,4.191837606837606,10000,0,3,3,0.0
2,4.191837606837606,10000,0,2,4,0.0
2,4.0,100000,0,0,0,1.0
2,4.3,5000,0,0,0,0.0
2,4.5,100000,0,3,12,1.0
2,4.191837606837606,10000,0,3,4,0.0
2,4.1,10000,0,0,0,0.0
2,3.7,1000000,0,0,6,1.0
2,4.7,50000,0,0,0,0.0
2,4.2,10000,0,0,0,0.0
3,4.6,100000000,0,1,8,2.0
3,4.5,50000,0,0,2,0.0
3,4.6,100000,0,2,6,1.0
3,4.4,10000000,0,0,8,2.0
3,4.2,100000000,0,1,8,2.0
3,4.5,10000000,0,0,13,2.0
3,4.5,10000000,0,0,8,2.0
3,4.5,10000000,0,1,8,2.0
3,4.5,100000,0,0,5,1.0
3,4.4,1000000,0,1,6,1.0
3,4.5,10000000,0,0,8,2.0
3,4.6,500000,0,0,6,1.0
3,4.8,1000000,0,1,0,1.0
3,3.9,1000000000,0,1,8,2.0
3,4.6,5000000,0,0,3,1.0
3,4.2,100000,0,0,0,1.0
3,4.1,10000000,0,0,5,2.0
3,4.7,500000,0,0,0,1.0
3,4.2,10000000,0,1,8,2.0
3,4.3,1000000,0,0,5,1.0
3,3.3,1000000,0,0,5,1.0
3,4.6,500000,0,0,3,1.0
3,4.8,1000000,0,0,5,1.0
3,4.7,500000,0,0,8,1.0
3,4.191837606837606,10000,0,0,3,0.0
3,4.1,5000000,0,0,6,1.0
3,4.6,100000,0,1,6,1.0
3,4.1,5000000,0,3,5,1.0
3,4.6,500000,0,0,0,1.0
3,4.7,1000000,0,0,4,1.0
3,4.5,500000,0,0,0,1.0
3,3.9,500000,0,3,14,1.0
3,4.4,1000000,0,0,2,1.0
3,4.3,5000000,0,0,8,1.0
3,4.2,10000000,0,0,15,2.0
3,4.5,100000,0,0,6,1.0
3,4.4,100000,0,0,0,1.0
3,3.4,100000,0,0,0,1.0
3,4.9,50000,0,0,4,0.0
3,4.6,500000,0,0,4,1.0
3,4.4,10000000,0,0,8,2.0
3,4.191837606837606,50000,0,0,11,0.0
3,4.4,1000000,0,0,6,1.0
3,4.4,1000000,0,0,1,1.0
3,4.4,1000000,0,0,0,1.0
3,3.5,500000,0,0,9,1.0
3,4.191837606837606,100000,0,0,16,1.0
3,4.4,10000000,0,2,1,2.0
4,4.1,10000000,0,0,8,2.0
4,4.3,50000000,0,0,8,2.0
4,4.4,10000000,0,0,8,2.0
4,4.3,5000000,0,0,10,1.0
4,4.3,1000000,0,0,8,1.0
4,4.1,50000000,0,0,8,2.0
4,4.4,5000000,0,0,2,1.0
4,4.3,100000000,0,0,5,2.0
4,3.9,1000000,0,0,0,1.0
4,4.8,1000000,0,0,10,1.0
4,4.5,500000,0,0,5,1.0
4,4.4,10000000,0,0,5,2.0
4,4.0,5000000,0,0,0,1.0
4,4.3,1000000,0,0,13,1.0
4,4.0,50000000,0,0,8,2.0
